"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15","15.566","14.515","16.250","14.410","0.24K","7.26%"
"Sep 15","14.513","14.620","15.265","14.265","2.44K","-0.44%"
"Aug 15","14.577","14.730","15.510","14.045","15.26K","-1.15%"
"Jul 15","14.746","15.635","15.695","14.330","3.17K","-5.18%"
"Jun 15","15.551","16.635","17.100","15.415","21.65K","-6.79%"
"May 15","16.684","16.090","17.710","15.905","2.23K","3.47%"
"Apr 15","16.124","16.620","17.080","15.815","19.44K","-2.76%"
"Mar 15","16.581","16.585","17.325","15.270","2.41K","0.41%"
"Feb 15","16.513","17.320","17.600","16.295","19.48K","-3.95%"
"Jan 15","17.192","15.790","18.355","15.535","0.84K","10.45%"
"Dec 14","15.565","15.390","17.180","14.100","4.25K","0.49%"
"Nov 14","15.489","16.035","16.650","15.045","28.92K","-3.66%"
"Oct 14","16.077","16.950","17.700","15.860","1.10K","-5.46%"
"Sep 14","17.006","19.405","19.470","16.870","2.61K","-12.33%"
"Aug 14","19.398","20.295","20.360","19.285","22.42K","-4.79%"
"Jul 14","20.373","21.010","21.525","20.435","2.35K","-3.02%"
"Jun 14","21.007","18.750","21.205","18.675","20.06K","12.62%"
"May 14","18.653","19.170","19.915","18.605","3.51K","-2.44%"
"Apr 14","19.119","19.940","20.215","19.025","20.60K","-3.12%"
"Mar 14","19.734","21.350","21.710","19.630","3.11K","-6.93%"
"Feb 14","21.204","19.130","21.895","19.090","18.04K","10.99%"
"Jan 14","19.105","20.310","20.530","19.060","1.24K","-1.21%"
"Dec 13","19.339","19.910","20.400","18.845","4.94K","-3.21%"
"Nov 13","19.981","21.870","21.880","19.585","28.84K","-8.48%"
"Oct 13","21.832","21.665","23.000","20.675","0.49K","0.81%"
"Sep 13","21.656","23.200","24.460","21.210","4.95K","-7.70%"
"Aug 13","23.463","19.610","24.985","19.460","22.46K","19.61%"
"Jul 13","19.617","19.485","20.520","18.685","3.99K","0.85%"
"Jun 13","19.451","22.335","22.870","18.185","23.82K","-12.49%"
"May 13","22.228","24.250","24.375","21.010","6.15K","-7.94%"
"Apr 13","24.144","27.960","27.975","22.600","22.60K","-14.66%"
"Mar 13","28.292","28.485","29.290","27.955","3.22K","-0.36%"
"Feb 13","28.395","31.600","32.020","28.315","27.13K","-9.38%"
"Jan 13","31.335","30.630","32.315","29.210","0.72K","3.85%"
"Dec 12","30.173","33.500","33.850","29.620","5.82K","-9.13%"
"Nov 12","33.204","32.470","34.395","30.785","17.79K","2.84%"
"Oct 12","32.288","34.375","34.980","31.650","0.65K","-6.46%"
"Sep 12","34.517","31.660","35.090","31.520","3.72K","10.03%"
"Aug 12","31.370","27.050","31.700","26.965","15.75K","12.46%"
"Jul 12","27.895","27.440","28.370","26.445","4.08K","1.14%"
"Jun 12","27.580","27.720","29.245","26.070","26.32K","-0.58%"
"May 12","27.741","31.045","31.280","26.895","2.27K","-10.39%"
"Apr 12","30.959","33.105","33.105","30.550","24.81K","-4.65%"
"Mar 12","32.469","34.620","35.615","31.190","4.24K","-6.11%"
"Feb 12","34.583","33.170","37.480","32.700","31.68K","4.06%"
"Jan 12","33.233","28.165","33.800","28.110","1.57K","19.22%"
"Dec 11","27.875","32.715","33.555","26.385","3.14K","-14.84%"
"Nov 11","32.731","32.870","35.040","31.020","19.32K","-4.68%"
